key,value,timestamp,topic,partition,offset
b'DOGE-USD',"{""pair"": ""DOGE/USD"", ""price"": 0.4662232, ""volume"": 170.72, ""timestamp"": ""2024-12-08T18:13:02.021286Z"", ""timestamp_ms"": 1733681582021}",1733681580574,trades,0,30109
b'ETH-USD',"{""pair"": ""ETH/USD"", ""price"": 3983.67, ""volume"": 0.00258888, ""timestamp"": ""2024-12-08T18:13:05.521856Z"", ""timestamp_ms"": 1733681585521}",1733681584146,trades,0,30110
b'ETH-USD',"{""pair"": ""ETH/USD"", ""price"": 3983.53, ""volume"": 0.56349196, ""timestamp"": ""2024-12-08T18:13:05.521856Z"", ""timestamp_ms"": 1733681585521}",1733681584146,trades,0,30111
b'BTC-USD',"{""pair"": ""BTC/USD"", ""price"": 99999.9, ""volume"": 0.01015001, ""timestamp"": ""2024-12-08T18:13:06.901463Z"", ""timestamp_ms"": 1733681586901}",1733681585451,trades,0,30112
b'BTC-USD',"{""pair"": ""BTC/USD"", ""price"": 99999.9, ""volume"": 0.00053626, ""timestamp"": ""2024-12-08T18:13:07.987656Z"", ""timestamp_ms"": 1733681587987}",1733681586545,trades,0,30113
b'DOGE-USD',"{""pair"": ""DOGE/USD"", ""price"": 0.4663001, ""volume"": 13.0, ""timestamp"": ""2024-12-08T18:13:08.658802Z"", ""timestamp_ms"": 1733681588658}",1733681587321,trades,0,30114
b'ETH-USD',"{""pair"": ""ETH/USD"", ""price"": 3983.76, ""volume"": 0.02520441, ""timestamp"": ""2024-12-08T18:13:08.851216Z"", ""timestamp_ms"": 1733681588851}",1733681587402,trades,0,30115
b'PEPE-USD',"{""pair"": ""PEPE/USD"", ""price"": 2.641e-05, ""volume"": 189322226.42937, ""timestamp"": ""2024-12-08T18:13:10.624818Z"", ""timestamp_ms"": 1733681590624}",1733681589266,trades,0,30116
b'PEPE-USD',"{""pair"": ""PEPE/USD"", ""price"": 2.6411e-05, ""volume"": 11218790.76081, ""timestamp"": ""2024-12-08T18:13:10.624818Z"", ""timestamp_ms"": 1733681590624}",1733681589266,trades,0,30117
b'DOGE-USD',"{""pair"": ""DOGE/USD"", ""price"": 0.4663012, ""volume"": 13.0, ""timestamp"": ""2024-12-08T18:13:10.899245Z"", ""timestamp_ms"": 1733681590899}",1733681589449,trades,0,30118
b'DOGE-USD',"{""pair"": ""DOGE/USD"", ""price"": 0.4663012, ""volume"": 13.0, ""timestamp"": ""2024-12-08T18:13:12.121686Z"", ""timestamp_ms"": 1733681592121}",1733681590700,trades,0,30119
b'PEPE-USD',"{""pair"": ""PEPE/USD"", ""price"": 2.6401e-05, ""volume"": 3526576.0, ""timestamp"": ""2024-12-08T18:13:12.184547Z"", ""timestamp_ms"": 1733681592184}",1733681590744,trades,0,30120
b'DOGE-USD',"{""pair"": ""DOGE/USD"", ""price"": 0.4663012, ""volume"": 4.95173995, ""timestamp"": ""2024-12-08T18:13:13.721383Z"", ""timestamp_ms"": 1733681593721}",1733681592339,trades,0,30121
b'DOGE-USD',"{""pair"": ""DOGE/USD"", ""price"": 0.4663499, ""volume"": 8.04826005, ""timestamp"": ""2024-12-08T18:13:13.721383Z"", ""timestamp_ms"": 1733681593721}",1733681592339,trades,0,30122
b'DOGE-USD',"{""pair"": ""DOGE/USD"", ""price"": 0.4663499, ""volume"": 13.0, ""timestamp"": ""2024-12-08T18:13:14.923263Z"", ""timestamp_ms"": 1733681594923}",1733681593567,trades,0,30123
b'ETH-USD',"{""pair"": ""ETH/USD"", ""price"": 3984.11, ""volume"": 0.00741863, ""timestamp"": ""2024-12-08T18:13:16.032233Z"", ""timestamp_ms"": 1733681596032}",1733681594591,trades,0,30124
b'PEPE-USD',"{""pair"": ""PEPE/USD"", ""price"": 2.6388e-05, ""volume"": 189480986.73232, ""timestamp"": ""2024-12-08T18:13:16.204401Z"", ""timestamp_ms"": 1733681596204}",1733681594755,trades,0,30125
b'BTC-USD',"{""pair"": ""BTC/USD"", ""price"": 100000.0, ""volume"": 0.0007865, ""timestamp"": ""2024-12-08T18:13:16.740890Z"", ""timestamp_ms"": 1733681596740}",1733681595309,trades,0,30126
b'BTC-USD',"{""pair"": ""BTC/USD"", ""price"": 100000.0, ""volume"": 0.06, ""timestamp"": ""2024-12-08T18:13:16.740890Z"", ""timestamp_ms"": 1733681596740}",1733681595309,trades,0,30127
b'BTC-USD',"{""pair"": ""BTC/USD"", ""price"": 100000.0, ""volume"": 0.00015087, ""timestamp"": ""2024-12-08T18:13:16.740890Z"", ""timestamp_ms"": 1733681596740}",1733681595309,trades,0,30128
b'DOGE-USD',"{""pair"": ""DOGE/USD"", ""price"": 0.4663499, ""volume"": 13.0, ""timestamp"": ""2024-12-08T18:13:16.878064Z"", ""timestamp_ms"": 1733681596878}",1733681595428,trades,0,30129
b'DOGE-USD',"{""pair"": ""DOGE/USD"", ""price"": 0.4663499, ""volume"": 26.88362652, ""timestamp"": ""2024-12-08T18:13:17.362448Z"", ""timestamp_ms"": 1733681597362}",1733681595914,trades,0,30130
b'DOGE-USD',"{""pair"": ""DOGE/USD"", ""price"": 0.4663501, ""volume"": 58.84733697, ""timestamp"": ""2024-12-08T18:13:17.362448Z"", ""timestamp_ms"": 1733681597362}",1733681595914,trades,0,30131
b'DOGE-USD',"{""pair"": ""DOGE/USD"", ""price"": 0.4665086, ""volume"": 58.92062416, ""timestamp"": ""2024-12-08T18:13:17.362448Z"", ""timestamp_ms"": 1733681597362}",1733681595914,trades,0,30132
b'DOGE-USD',"{""pair"": ""DOGE/USD"", ""price"": 0.4665283, ""volume"": 478.45841235, ""timestamp"": ""2024-12-08T18:13:17.362448Z"", ""timestamp_ms"": 1733681597362}",1733681595914,trades,0,30133
b'DOGE-USD',"{""pair"": ""DOGE/USD"", ""price"": 0.466398, ""volume"": 13.0, ""timestamp"": ""2024-12-08T18:13:18.852508Z"", ""timestamp_ms"": 1733681598852}",1733681597460,trades,0,30134
b'ETH-USD',"{""pair"": ""ETH/USD"", ""price"": 3984.07, ""volume"": 0.2180032, ""timestamp"": ""2024-12-08T18:13:21.220565Z"", ""timestamp_ms"": 1733681601220}",1733681599835,trades,0,30135
b'DOGE-USD',"{""pair"": ""DOGE/USD"", ""price"": 0.4662711, ""volume"": 13.0, ""timestamp"": ""2024-12-08T18:13:21.336669Z"", ""timestamp_ms"": 1733681601336}",1733681599888,trades,0,30136
b'BTC-USD',"{""pair"": ""BTC/USD"", ""price"": 100000.8, ""volume"": 0.0009901, ""timestamp"": ""2024-12-08T18:13:22.033158Z"", ""timestamp_ms"": 1733681602033}",1733681600634,trades,0,30137
b'PEPE-USD',"{""pair"": ""PEPE/USD"", ""price"": 2.6366e-05, ""volume"": 3736743.0, ""timestamp"": ""2024-12-08T18:13:22.034887Z"", ""timestamp_ms"": 1733681602034}",1733681600635,trades,0,30138
b'DOGE-USD',"{""pair"": ""DOGE/USD"", ""price"": 0.4661494, ""volume"": 13.0, ""timestamp"": ""2024-12-08T18:13:24.530658Z"", ""timestamp_ms"": 1733681604530}",1733681603193,trades,0,30139
b'DOGE-USD',"{""pair"": ""DOGE/USD"", ""price"": 0.4660183, ""volume"": 13.0, ""timestamp"": ""2024-12-08T18:13:26.709951Z"", ""timestamp_ms"": 1733681606709}",1733681605345,trades,0,30140
b'BTC-USD',"{""pair"": ""BTC/USD"", ""price"": 100000.9, ""volume"": 9.951e-05, ""timestamp"": ""2024-12-08T18:13:27.030980Z"", ""timestamp_ms"": 1733681607030}",1733681605652,trades,0,30141
b'BTC-USD',"{""pair"": ""BTC/USD"", ""price"": 100000.8, ""volume"": 0.00022772, ""timestamp"": ""2024-12-08T18:13:31.535591Z"", ""timestamp_ms"": 1733681611535}",1733681610158,trades,0,30142
b'BTC-USD',"{""pair"": ""BTC/USD"", ""price"": 100000.8, ""volume"": 0.00256115, ""timestamp"": ""2024-12-08T18:13:31.789303Z"", ""timestamp_ms"": 1733681611789}",1733681610362,trades,0,30143
b'PEPE-USD',"{""pair"": ""PEPE/USD"", ""price"": 2.6396e-05, ""volume"": 94750805.38184, ""timestamp"": ""2024-12-08T18:13:34.417039Z"", ""timestamp_ms"": 1733681614417}",1733681613023,trades,0,30144
b'BTC-USD',"{""pair"": ""BTC/USD"", ""price"": 100000.8, ""volume"": 0.0003123, ""timestamp"": ""2024-12-08T18:13:35.589945Z"", ""timestamp_ms"": 1733681615589}",1733681614150,trades,0,30145
b'DOGE-USD',"{""pair"": ""DOGE/USD"", ""price"": 0.466335, ""volume"": 19.5961634, ""timestamp"": ""2024-12-08T18:13:36.648087Z"", ""timestamp_ms"": 1733681616648}",1733681615275,trades,0,30146
b'BTC-USD',"{""pair"": ""BTC/USD"", ""price"": 100000.8, ""volume"": 0.00256248, ""timestamp"": ""2024-12-08T18:13:38.469831Z"", ""timestamp_ms"": 1733681618469}",1733681617025,trades,0,30147
b'ETH-USD',"{""pair"": ""ETH/USD"", ""price"": 3983.19, ""volume"": 0.00334, ""timestamp"": ""2024-12-08T18:13:40.138539Z"", ""timestamp_ms"": 1733681620138}",1733681618699,trades,0,30148
b'BTC-USD',"{""pair"": ""BTC/USD"", ""price"": 100000.9, ""volume"": 0.00019415, ""timestamp"": ""2024-12-08T18:13:41.068731Z"", ""timestamp_ms"": 1733681621068}",1733681619621,trades,0,30149
b'BTC-USD',"{""pair"": ""BTC/USD"", ""price"": 100000.8, ""volume"": 0.00048299, ""timestamp"": ""2024-12-08T18:13:42.735299Z"", ""timestamp_ms"": 1733681622735}",1733681621317,trades,0,30150
b'BTC-USD',"{""pair"": ""BTC/USD"", ""price"": 100000.8, ""volume"": 0.02522919, ""timestamp"": ""2024-12-08T18:13:47.702102Z"", ""timestamp_ms"": 1733681627702}",1733681626336,trades,0,30151
b'BTC-USD',"{""pair"": ""BTC/USD"", ""price"": 100000.9, ""volume"": 0.00079166, ""timestamp"": ""2024-12-08T18:13:49.949517Z"", ""timestamp_ms"": 1733681629949}",1733681628589,trades,0,30152
b'ETH-USD',"{""pair"": ""ETH/USD"", ""price"": 3983.01, ""volume"": 0.5021328, ""timestamp"": ""2024-12-08T18:13:50.172971Z"", ""timestamp_ms"": 1733681630172}",1733681628725,trades,0,30153
b'ETH-USD',"{""pair"": ""ETH/USD"", ""price"": 3983.01, ""volume"": 0.12550484, ""timestamp"": ""2024-12-08T18:13:50.172971Z"", ""timestamp_ms"": 1733681630172}",1733681628726,trades,0,30154
b'DOGE-USD',"{""pair"": ""DOGE/USD"", ""price"": 0.4660001, ""volume"": 106.27, ""timestamp"": ""2024-12-08T18:13:51.628219Z"", ""timestamp_ms"": 1733681631628}",1733681630229,trades,0,30155
b'DOGE-USD',"{""pair"": ""DOGE/USD"", ""price"": 0.466, ""volume"": 214.59227467, ""timestamp"": ""2024-12-08T18:13:53.543148Z"", ""timestamp_ms"": 1733681633543}",1733681632093,trades,0,30156
b'DOGE-USD',"{""pair"": ""DOGE/USD"", ""price"": 0.4658745, ""volume"": 1004.01, ""timestamp"": ""2024-12-08T18:14:00.518746Z"", ""timestamp_ms"": 1733681640518}",1733681639078,trades,0,30157
b'PEPE-USD',"{""pair"": ""PEPE/USD"", ""price"": 2.6392e-05, ""volume"": 250000.0, ""timestamp"": ""2024-12-08T18:14:02.500077Z"", ""timestamp_ms"": 1733681642500}",1733681641085,trades,0,30158
b'PEPE-USD',"{""pair"": ""PEPE/USD"", ""price"": 2.6393e-05, ""volume"": 695728.0, ""timestamp"": ""2024-12-08T18:14:03.700603Z"", ""timestamp_ms"": 1733681643700}",1733681642309,trades,0,30159
b'ETH-USD',"{""pair"": ""ETH/USD"", ""price"": 3983.0, ""volume"": 0.004, ""timestamp"": ""2024-12-08T18:14:08.857884Z"", ""timestamp_ms"": 1733681648857}",1733681647429,trades,0,30160
b'ETH-USD',"{""pair"": ""ETH/USD"", ""price"": 3982.94, ""volume"": 0.03010293, ""timestamp"": ""2024-12-08T18:14:09.661624Z"", ""timestamp_ms"": 1733681649661}",1733681648211,trades,0,30161
b'BTC-USD',"{""pair"": ""BTC/USD"", ""price"": 100000.9, ""volume"": 0.00099999, ""timestamp"": ""2024-12-08T18:14:15.716459Z"", ""timestamp_ms"": 1733681655716}",1733681654512,trades,0,30162
b'BTC-USD',"{""pair"": ""BTC/USD"", ""price"": 100000.9, ""volume"": 0.00093774, ""timestamp"": ""2024-12-08T18:14:17.079334Z"", ""timestamp_ms"": 1733681657079}",1733681656020,trades,0,30163
b'ETH-USD',"{""pair"": ""ETH/USD"", ""price"": 3982.06, ""volume"": 0.10590891, ""timestamp"": ""2024-12-08T18:14:18.886082Z"", ""timestamp_ms"": 1733681658886}",1733681657536,trades,0,30164
b'PEPE-USD',"{""pair"": ""PEPE/USD"", ""price"": 2.6387e-05, ""volume"": 37334559.0, ""timestamp"": ""2024-12-08T18:14:20.560968Z"", ""timestamp_ms"": 1733681660560}",1733681659207,trades,0,30165
b'BTC-USD',"{""pair"": ""BTC/USD"", ""price"": 100000.8, ""volume"": 5e-05, ""timestamp"": ""2024-12-08T18:14:21.547118Z"", ""timestamp_ms"": 1733681661547}",1733681660127,trades,0,30166
b'DOGE-USD',"{""pair"": ""DOGE/USD"", ""price"": 0.4654988, ""volume"": 103.95, ""timestamp"": ""2024-12-08T18:14:22.076897Z"", ""timestamp_ms"": 1733681662076}",1733681660648,trades,0,30167
b'PEPE-USD',"{""pair"": ""PEPE/USD"", ""price"": 2.6388e-05, ""volume"": 719303.0, ""timestamp"": ""2024-12-08T18:14:28.359078Z"", ""timestamp_ms"": 1733681668359}",1733681666910,trades,0,30168
b'BTC-USD',"{""pair"": ""BTC/USD"", ""price"": 100000.9, ""volume"": 0.0001, ""timestamp"": ""2024-12-08T18:14:31.446419Z"", ""timestamp_ms"": 1733681671446}",1733681670002,trades,0,30169
b'BTC-USD',"{""pair"": ""BTC/USD"", ""price"": 100000.9, ""volume"": 0.0001, ""timestamp"": ""2024-12-08T18:14:33.400374Z"", ""timestamp_ms"": 1733681673400}",1733681671954,trades,0,30170
b'PEPE-USD',"{""pair"": ""PEPE/USD"", ""price"": 2.6468e-05, ""volume"": 38031963.12528, ""timestamp"": ""2024-12-08T18:14:41.409948Z"", ""timestamp_ms"": 1733681681409}",1733681679994,trades,0,30171
b'BTC-USD',"{""pair"": ""BTC/USD"", ""price"": 100000.8, ""volume"": 0.00019023, ""timestamp"": ""2024-12-08T18:14:46.848791Z"", ""timestamp_ms"": 1733681686848}",1733681685406,trades,0,30172
b'ETH-USD',"{""pair"": ""ETH/USD"", ""price"": 3982.05, ""volume"": 0.00497777, ""timestamp"": ""2024-12-08T18:14:46.848928Z"", ""timestamp_ms"": 1733681686848}",1733681685410,trades,0,30173
b'DOGE-USD',"{""pair"": ""DOGE/USD"", ""price"": 0.4655703, ""volume"": 2.28, ""timestamp"": ""2024-12-08T18:14:46.936980Z"", ""timestamp_ms"": 1733681686936}",1733681685488,trades,0,30174
b'PEPE-USD',"{""pair"": ""PEPE/USD"", ""price"": 2.6468e-05, ""volume"": 11624054.68438, ""timestamp"": ""2024-12-08T18:14:48.199775Z"", ""timestamp_ms"": 1733681688199}",1733681686855,trades,0,30175
b'PEPE-USD',"{""pair"": ""PEPE/USD"", ""price"": 2.6468e-05, ""volume"": 25162615.31562, ""timestamp"": ""2024-12-08T18:14:48.199775Z"", ""timestamp_ms"": 1733681688199}",1733681686855,trades,0,30176
b'DOGE-USD',"{""pair"": ""DOGE/USD"", ""price"": 0.4652246, ""volume"": 20.75331474, ""timestamp"": ""2024-12-08T18:14:49.322137Z"", ""timestamp_ms"": 1733681689322}",1733681687872,trades,0,30177
b'BTC-USD',"{""pair"": ""BTC/USD"", ""price"": 100000.9, ""volume"": 0.00049261, ""timestamp"": ""2024-12-08T18:14:54.038800Z"", ""timestamp_ms"": 1733681694038}",1733681692589,trades,0,30178
b'PEPE-USD',"{""pair"": ""PEPE/USD"", ""price"": 2.6467e-05, ""volume"": 112620595.25412, ""timestamp"": ""2024-12-08T18:14:55.287504Z"", ""timestamp_ms"": 1733681695287}",1733681693839,trades,0,30179
b'PEPE-USD',"{""pair"": ""PEPE/USD"", ""price"": 2.6467e-05, ""volume"": 29064737.56969, ""timestamp"": ""2024-12-08T18:14:55.725341Z"", ""timestamp_ms"": 1733681695725}",1733681694329,trades,0,30180
b'PEPE-USD',"{""pair"": ""PEPE/USD"", ""price"": 2.6467e-05, ""volume"": 86141232.47818, ""timestamp"": ""2024-12-08T18:14:55.924370Z"", ""timestamp_ms"": 1733681695924}",1733681694478,trades,0,30181
b'PEPE-USD',"{""pair"": ""PEPE/USD"", ""price"": 2.6467e-05, ""volume"": 3189012.66795, ""timestamp"": ""2024-12-08T18:14:55.924370Z"", ""timestamp_ms"": 1733681695924}",1733681694478,trades,0,30182
b'PEPE-USD',"{""pair"": ""PEPE/USD"", ""price"": 2.6467e-05, ""volume"": 4367567.22398, ""timestamp"": ""2024-12-08T18:14:56.027652Z"", ""timestamp_ms"": 1733681696027}",1733681694580,trades,0,30183
b'BTC-USD',"{""pair"": ""BTC/USD"", ""price"": 100000.9, ""volume"": 0.05736966, ""timestamp"": ""2024-12-08T18:14:57.977448Z"", ""timestamp_ms"": 1733681697977}",1733681696531,trades,0,30184
b'BTC-USD',"{""pair"": ""BTC/USD"", ""price"": 100000.9, ""volume"": 0.001, ""timestamp"": ""2024-12-08T18:14:57.977448Z"", ""timestamp_ms"": 1733681697977}",1733681696531,trades,0,30185
b'BTC-USD',"{""pair"": ""BTC/USD"", ""price"": 100000.9, ""volume"": 0.01999982, ""timestamp"": ""2024-12-08T18:14:57.977448Z"", ""timestamp_ms"": 1733681697977}",1733681696532,trades,0,30186
b'BTC-USD',"{""pair"": ""BTC/USD"", ""price"": 100000.9, ""volume"": 0.0123, ""timestamp"": ""2024-12-08T18:14:57.977448Z"", ""timestamp_ms"": 1733681697977}",1733681696532,trades,0,30187
